Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of organizations associated with trade activity with China,8/16/2018,,"A threat actor is targeting multiple organizations with trade ties to China, including those connected with China?? Belt and Road Initiative. The actor also targets organizations in advance of officials??meetings with Chinese trade officials.",,"United States, Kenya, Mongolia, Brazil",China,Espionage,"Government, Private sector",https://www.recordedfuture.com/chinese-cyberespionage-operations/,,
APT 39,12/12/2018,Believed to be connected to the Iranian government.,"This threat actor, operating since November 2014, focuses on the Middle East. It mainly targets the telecommunications industry, and also targets the travel industry and supporting IT firms, and the high-tech industry.",,"Saudi Arabia, Egypt, Turkey, Iraq, Spain, Norway, Australia, South Korea",Iran (Islamic Republic of),,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html,https://securityaffairs.co/wordpress/80450/apt/iran-apt39-cyberespionage.html,
Indictment of officials from the Mabna Institute,3/28/2018,,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.",Criminal charges   https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,"United States, United Nations, UNICEF, Australia, Canada, China, Denmark, Germany, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Norway, Poland, Singapore, Republic of Korea, Spain, Sweden, Switzerland, Turkey, United Kingdom",Iran (Islamic Republic of),Espionage,"Government, Civil society, Private sector",https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary,https://home.treasury.gov/news/press-releases/sm0332,
Rancor,6/26/2018,Believed to use similar tools as DragonOK,"This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.",,"Singapore, Cambodia",China,Espionage,"Government, Civil society",https://researchcenter.paloaltonetworks.com/2018/06/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/,https://www.securityweek.com/rancor-cyber-espionage-group-uncovered,
Compromise of American aerospace companies,10/30/2018,China's Jiangsu Ministry of State Security,"This threat actor reportedly intruded into American aerospace companies' computer systems to steal intellectual property and business information, including information related to turbofan engines used in commercial aircraft.",Criminal charges   https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal,"Aerospace companies based in Arizona, Massachusetts, and Oregon",China,Espionage,Private sector,https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal,,
TempTick,6/5/2018,Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un. Affiliated with China?? Ministry of State Security. Also known as?Tick.,"Japan announced a formal link between the threat actor Tick and Chinese intelligence, saying that it was responsible for a series of attacks in Japan. Tick has been active since at least 2008 and has primarily targeted Japan and South Korea. This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage.?",,"South Korea, Japan",China,,"Government, Private sector, Civil society",https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html,https://researchcenter.paloaltonetworks.com/2018/06/unit42-tick-group-weaponized-secure-usb-drives-target-air-gapped-critical-systems/
Compromise of the German Foreign Office,3/16/2018,Believed to be the work of Turla,"A threat actor has compromised the German Foreign Office, for the purpose of espionage.",,Germany,Russian Federation,Espionage,Government,https://www.sueddeutsche.de/digital/exklusiv-so-schleusten-die-hacker-daten-aus-dem-auswaertigen-amt-1.3894534,https://www.welivesecurity.com/2018/08/22/turla-unique-outlook-backdoor/,
Targeting of U.S. Navy contractors,12/14/2018,Believed to be the work of APT 10.,"In a series of incidents, Chinese hackers breached U.S. Navy contractors??systems to steal information including ship maintenance data and missile plans.",,United States,China,Espionage,Government,https://www.wsj.com/articles/u-s-navy-is-struggling-to-fend-off-chinese-hackers-officials-say-11544783401,https://www.zdnet.com/article/us-charges-two-chinese-nationals-for-hacking-cloud-providers-nasa-the-us-navy/,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion
Targeting of foreign ministries,2/28/2018,Believed to be the work of APT 28,A threat actor targeted a foreign ministry in Europe and in North America using spear-phishing techniques for the purpose of espionage.,,,Russian Federation,Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/02/unit42-sofacy-attacks-multiple-government-entities/,,
Operation Parliament,4/12/2018,,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",,"Palestine, Egypt, Jordan, United Arab Emirates, Saudi Arabia, Djibouti, Qatar, Chile, Lebonon, Somalia, Iraq, Morocco, Syria, India, Iran, Canada, United States, United Kingdom, Germany, Israel, Afghanistan, Serbia, Russia, Oman, Kuwait, South Korea, Denmark",,Espionage,"Government, Civil society",https://securelist.com/operation-parliament-who-is-doing-what/85237/,,
Targeting of Japanese companies,4/22/2018,Believed to be the work of APT 10,This threat actor targets Japanese media and defense companies for espionage purposes.,,Japan,China,Espionage,Private sector,https://www.bloomberg.com/news/articles/2018-04-22/china-cyberspies-targeted-japanese-firms-for-north-korea-secrets,https://www.fireeye.com/blog/threat-research/2018/09/apt10-targeting-japanese-corporations-using-updated-ttps.html,
APT 35,1/1/2018,Also known as Phosphoros and Newscaster Team,"This threat actor, whose activities date back to 2014, conducts long-term operations to collect strategic intelligence. They target U.S. and Middle Eastern defense, diplomatic, and government personnel, as well as private industries, including media, energy, business services, and telecommunications.",,United States,Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/content/dam/collateral/en/mtrends-2018.pdf,,
Operation GhostSecret,4/24/2018,Believed to be the work of the Lazarus Group,"A threat actor targets critical infrastructure and organizations in the entertainment, finance, health-care, education, and telecommunications sectors.",,"United States, United Kingdom, India, Thailand, Guatemala, Germany, France, Canada, Brazil, China, Bangladesh, Thailand, Hong Kong, Japan, Australia,",Korea (Democratic People's Republic of),Espionage,Private sector,https://securingtomorrow.mcafee.com/mcafee-labs/analyzing-operation-ghostsecret-attack-seeks-to-steal-data-worldwide/,,
Chrysene,5/17/2018,"Believed to be linked to the compromise of Saudi Aramco, malware Shamoon 2.0, and the OilRig threat actor","This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor ??ompromises a target machine and passes it off to another threat actor for further exploitation.??,,Iraq", Pakistan, Israel," United Kingdom""",,Espionage,Private sector,https://dragos.com/blog/20180517Chrysene.html,
Global bank attacks,10/3/2018,Suspected to be the work of the Lazarus Group.,A North Korean group is believed to have stolen hundreds of millions of dollars by infiltrating the computer systems of banks around the world since 2014.,,"United States, Mexico, Chile, Brazil, Uruguay, Poland, Turkey, Bangladesh, Malaysia, Vietnam, Russia, Phillipines, Taiwan",Korea (Democratic People's Republic of),Financial Theft,Private sector,https://www.forbes.com/sites/leemathews/2019/03/11/north-korean-hackers-have-raked-in-670-million-via-cyberattacks/#4b11848c7018,https://www.nbcnews.com/tech/security/north-korean-malware-dubbed-hidden-cobra-swindled-millions-atms-n916216,https://content.fireeye.com/apt/rpt-apt38
Compromise of Managed Service Providers and technology companies,12/20/2018,China's Tianjin State Security Bureau,"The threat actor compromised eight technology service providers, including Hewlett Packard Enterprise and IBM (their cloud services in particular were targeted), to steal commercial secrets from over forty-five client technology companies. The victims include Swedish telecom giant Ericsson, U.S. Navy shipbuilder Huntington Ingalls Industries, and travel reservation system Sabre.",Criminal charges   https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,"Networks and clients of Hewlett Packard Enterprise, IBM, Fujitsu, Tata Consultancy Services, NTT Data, Dimension Data, Computer Sciences Corporation, and DXC Technology",China,Espionage,Private sector,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,,
Targeting of AMC Theatres,9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted U.S. movie theater chain AMC Theatres in 2014 using spear-phishing techniques. The U.S. Department of Justice alleges that the incident was related to the chain's screenings of The Interview, a movie depicting the assassination of North Korean leader Kim Jong-un.",Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,AMC Theatres,Korea (Democratic People's Republic of),Espionage,Private sector,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,
